Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
1,Michael Jordan,1986-87,23,CHI,NBA,82,.562,37.1,82,3281,29.8,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,117,104,11.9,5.0,16.9,.247,8.0,0.6,8.6,8.8
2,James Harden,2018-19,29,HOU,NBA,52,.623,36.6,52,1944,31.0,.551,.484,2.8,17.7,10.0,40.5,2.8,1.8,15.4,40.2,119,110,8.2,2.1,10.3,.253,11.2,0.7,12.0,6.8
3,Kobe Bryant,2005-06,27,LAL,NBA,80,.559,35.4,80,3277,28.0,.238,.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,114,105,11.6,3.7,15.3,.224,7.3,-1.5,5.8,6.5
4,Michael Jordan,1987-88,24,CHI,NBA,82,.603,35.0,82,3311,31.7,.027,.430,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,123,101,15.2,6.1,21.2,.308,9.8,2.3,12.2,11.8
5,Michael Jordan,1989-90,26,CHI,NBA,82,.606,33.6,82,3197,31.2,.125,.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,123,106,14.7,4.3,19.0,.285,9.7,0.8,10.6,10.1
6,George Gervin,1979-80,27,SAS,NBA,78,.587,33.1,,2934,24.0,.053,.306,5.7,8.9,7.3,11.0,1.6,1.4,10.3,31.7,115,110,9.3,1.3,10.6,.173,4.9,-2.7,2.2,3.1
7,Allen Iverson,2005-06,30,PHI,NBA,72,.543,33.0,72,3103,25.9,.122,.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,111,110,8.8,1.8,10.6,.165,6.0,-2.5,3.5,4.3
8,Bernard King,1984-85,28,NYK,NBA,55,.585,32.9,55,2063,25.2,.008,.424,6.2,11.8,8.9,18.6,1.7,0.4,11.7,35.1,113,111,5.7,1.5,7.1,.166,5.8,-1.5,4.3,3.3
9,Michael Jordan,1992-93,29,CHI,NBA,78,.564,32.6,78,3067,29.7,.115,.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,119,102,12.0,5.2,17.2,.270,8.3,1.2,9.5,8.9
10,Michael Jordan,1988-89,25,CHI,NBA,81,.614,32.5,81,3255,31.1,.055,.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,123,103,14.6,5.2,19.8,.292,9.8,2.7,12.6,12.0
11,George Gervin,1981-82,29,SAS,NBA,79,.562,32.3,79,2817,24.2,.018,.323,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35.0,114,110,8.7,2.0,10.7,.182,4.6,-2.9,1.7,2.6
